NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.7	INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.7	Details ...	54	0.8086199	2.0478146	0.0	0.0	0.0	886	tags=61%, list=7%, signal=65%	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	77	0.7796936	2.0094292	0.0	0.0	0.0	2098	tags=86%, list=16%, signal=102%	
RESPONSE TO INTERFERON-ALPHA%GOBP%GO:0035455	RESPONSE TO INTERFERON-ALPHA%GOBP%GO:0035455	Details ...	16	0.83390045	1.8791074	0.0010070493	3.291441E-4	0.001	1606	tags=69%, list=12%, signal=78%	
DEFECTIVE B3GALTL CAUSES PPS%REACTOME%R-HSA-5083635.2	DEFECTIVE B3GALTL CAUSES PPS%REACTOME%R-HSA-5083635.2	Details ...	24	0.7886471	1.8644267	0.0	2.4685808E-4	0.001	1410	tags=63%, list=11%, signal=70%	
IMMUNE RESPONSE TO TUBERCULOSIS%WIKIPATHWAYS_20220510%WP4197%HOMO SAPIENS	IMMUNE RESPONSE TO TUBERCULOSIS%WIKIPATHWAYS_20220510%WP4197%HOMO SAPIENS	Details ...	19	0.8005703	1.8632604	0.0	1.9748647E-4	0.001	1626	tags=68%, list=13%, signal=78%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	143	0.6996465	1.8586098	0.0	1.6457205E-4	0.001	2120	tags=64%, list=16%, signal=76%	
NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	Details ...	42	0.7508158	1.8577954	0.0	1.4106176E-4	0.001	2314	tags=69%, list=18%, signal=84%	
O-GLYCOSYLATION OF TSR DOMAIN-CONTAINING PROTEINS%REACTOME%R-HSA-5173214.1	O-GLYCOSYLATION OF TSR DOMAIN-CONTAINING PROTEINS%REACTOME%R-HSA-5173214.1	Details ...	25	0.769748	1.8230088	0.0	7.4145873E-4	0.006	1410	tags=60%, list=11%, signal=67%	
INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.5	INTERFERON GAMMA SIGNALING%REACTOME%R-HSA-877300.5	Details ...	65	0.7056151	1.7993839	0.0	0.0014278843	0.013	2310	tags=60%, list=18%, signal=73%	
TYPE II INTERFERON SIGNALING%WIKIPATHWAYS_20220510%WP619%HOMO SAPIENS	TYPE II INTERFERON SIGNALING%WIKIPATHWAYS_20220510%WP619%HOMO SAPIENS	Details ...	20	0.7689157	1.792216	0.0	0.0013839923	0.014	2383	tags=80%, list=18%, signal=98%	
